data_type,study_name_common,study_name_rare,trait_common,trait_rare
protein,UKB-PPP-european-GPR101:Q96P66:OID30819:v1,ukb-wes-az-00012248,UKB-PPP european GPR101,GPR101 Q96P66 OID30819 v1 NeurologyII
protein,UKB-PPP-european-F9:P00740:OID20349:v1,ukb-wes-az-00014941,UKB-PPP european F9,F9 P00740 OID20349 v1 Cardiometabolic
protein,UKB-PPP-european-SLITRK2:Q9H156:OID21409:v1,ukb-wes-az-00013676,UKB-PPP european SLITRK2,SLITRK2 Q9H156 OID21409 v1 Oncology
protein,UKB-PPP-european-FMR1:Q06787:OID21233:v1,ukb-wes-az-00012092,UKB-PPP european FMR1,FMR1 Q06787 OID21233 v1 Oncology
protein,UKB-PPP-european-IDS:P22304:OID20619:v1,ukb-wes-az-00012376,UKB-PPP european IDS,IDS P22304 OID20619 v1 Inflammation
protein,UKB-PPP-european-CD99L2:Q8TCZ2:OID21122:v1,ukb-wes-az-00014368,UKB-PPP european CD99L2,CD99L2 Q8TCZ2 OID21122 v1 Neurology
protein,UKB-PPP-european-MAGEA3:P43357:OID31331:v1,ukb-wes-az-00012750,UKB-PPP european MAGEA3,MAGEA3 P43357 OID31331 v1 OncologyII
protein,UKB-PPP-european-CETN2:P41208:OID20836:v1,ukb-wes-az-00014438,UKB-PPP european CETN2,CETN2 P41208 OID20836 v1 Neurology
protein,UKB-PPP-european-BGN:P21810:OID21198:v1,ukb-wes-az-00013780,UKB-PPP european BGN,BGN P21810 OID21198 v1 Oncology
protein,UKB-PPP-european-PLXNB3:Q9ULL4:OID20160:v1,ukb-wes-az-00013226,UKB-PPP european PLXNB3,PLXNB3 Q9ULL4 OID20160 v1 Cardiometabolic
protein,UKB-PPP-european-L1CAM:P32004:OID21484:v1,ukb-wes-az-00012618,UKB-PPP european L1CAM,L1CAM P32004 OID21484 v1 Oncology
protein,UKB-PPP-european-NAA10:P41227:OID30188:v1,ukb-wes-az-00012917,UKB-PPP european NAA10,NAA10 P41227 OID30188 v1 CardiometabolicII
protein,UKB-PPP-european-IRAK1:P51617:OID20485:v1,ukb-wes-az-00012512,UKB-PPP european IRAK1,IRAK1 P51617 OID20485 v1 Inflammation
protein,UKB-PPP-european-IKBKG:Q9Y6K9:OID20544:v1,ukb-wes-az-00012414,UKB-PPP european IKBKG,IKBKG Q9Y6K9 OID20544 v1 Inflammation
protein,UKB-PPP-european-CTAG1A-CTAG1B:P78358:OID31299:v1,,UKB-PPP european CTAG1A,
protein,UKB-PPP-european-RAB39B:Q96DA2:OID30069:v1,ukb-wes-az-00013384,UKB-PPP european RAB39B,RAB39B Q96DA2 OID30069 v1 CardiometabolicII
phenotype,ukb-b-10102,ukb-wes-bm-00001498,Diagnoses - main ICD10: Z09.0 Follow-up examination after surgery for other conditions,ICD10 Z09.0: Follow-up examination after surgery for other conditions (Z09.0)
phenotype,ukb-b-10362,ukb-wes-bm-00003663,Diagnoses - main ICD10: K80.0 Calculus of gallbladder with acute cholecystitis,ICD10 K80.0: Calculus of gallbladder with acute cholecystitis
phenotype,ukb-b-10623,ukb-wes-bm-00002537,Diagnoses - main ICD10: D12.5 Sigmoid colon,ICD10 D12.5: Benign neoplasm of sigmoid colon
phenotype,ukb-b-10646,ukb-wes-bm-00003392,Diagnoses - main ICD10: Z09.9 Follow-up examination after unspecified treatment for other conditions,ICD10 Z09.9: Follow-up examination after unspecified treatment for other conditions (Z09.9)
phenotype,ukb-b-10668,ukb-wes-bm-00002360,"Diagnoses - main ICD10: N47 Redundant prepuce, phimosis and paraphimosis",ICD10 N47: Disorders of prepuce
phenotype,ukb-b-10712,ukb-wes-bm-00002466,Diagnoses - main ICD10: O70.1 Second degree perineal laceration during delivery,ICD10 O70.1: Second degree perineal laceration during delivery
phenotype,ukb-b-10771,ukb-wes-bm-00003953,"Diagnoses - main ICD10: R07.4 Chest pain, unspecified","ICD10 R07.4: Chest pain, unspecified (R07.4)"
phenotype,ukb-b-10859,ukb-wes-bm-00002077,Diagnoses - main ICD10: K57.3 Diverticular disease of large intestine without perforation or abscess,ICD10 K57.3: Diverticular disease of large intestine without perforation or abscess
phenotype,ukb-b-10873,ukb-wes-bm-00001421,Diagnoses - main ICD10: M54.59 Low back pain (Site unspecified),ICD10 M54.59: Low back pain
phenotype,ukb-b-11020,ukb-wes-bm-00003520,Diagnoses - main ICD10: K80.2 Calculus of gallbladder without cholecystitis,ICD10 K80.2: Calculus of gallbladder without cholecystitis
phenotype,ukb-b-11052,ukb-wes-bm-00002652,Diagnoses - main ICD10: R79.8 Other specified abnormal findings of blood chemistry,ICD10 R79.8: Other specified abnormal findings of blood chemistry
phenotype,ukb-b-11261,ukb-wes-bm-00003917,Diagnoses - main ICD10: I84.9 Unspecified haemorrhoids without complication,ICD10 I84.9: Unspecified haemorrhoids without complication (I84.9)
phenotype,ukb-b-11274,ukb-wes-bm-00001885,"Diagnoses - main ICD10: K60.2 Anal fissure, unspecified","ICD10 K60.2: Anal fissure, unspecified"
phenotype,ukb-b-11298,ukb-wes-bm-00003551,Diagnoses - main ICD10: N81.1 Cystocele,ICD10 N81.1: Cystocele
phenotype,ukb-b-11369,ukb-wes-bm-00002321,"Diagnoses - main ICD10: K40.2 Bilateral inguinal hernia, without obstruction or gangrene","ICD10 K40.2: Bilateral inguinal hernia, without obstruction or gangrene"
phenotype,ukb-b-11403,ukb-wes-bm-00002432,Diagnoses - main ICD10: L90.5 Scar conditions and fibrosis of skin,ICD10 L90.5: Scar conditions and fibrosis of skin
phenotype,ukb-b-11412,ukb-wes-bm-00003875,Diagnoses - main ICD10: R04.0 Epistaxis,ICD10 R04.0: Epistaxis
phenotype,ukb-b-11531,ukb-wes-bm-00000472,Diagnoses - main ICD10: R32 Unspecified urinary incontinence,ICD10 R32: Unspecified urinary incontinence
phenotype,ukb-b-11572,ukb-wes-bm-00000727,Diagnoses - main ICD10: N92.0 Excessive and frequent menstruation with regular cycle,ICD10 N92.0: Excessive and frequent menstruation with regular cycle
phenotype,ukb-b-11582,ukb-wes-bm-00003692,Diagnoses - main ICD10: K62.5 Haemorrhage of anus and rectum,ICD10 K62.5: Hemorrhage of anus and rectum
phenotype,ukb-b-11601,ukb-wes-bm-00001095,Diagnoses - main ICD10: N40 Hyperplasia of prostate,ICD10 N40: Benign prostatic hyperplasia
phenotype,ukb-b-11680,ukb-wes-bm-00001990,"Diagnoses - main ICD10: T84.8 Other complications of internal orthopaedic prosthetic devices, implants and grafts","ICD10 T84.8: Other specified complications of internal orthopedic prosthetic devices, implants and grafts"
phenotype,ukb-b-11748,ukb-wes-bm-00002105,Diagnoses - main ICD10: I47.1 Supraventricular tachycardia,ICD10 I47.1: Supraventricular tachycardia
phenotype,ukb-b-11771,ukb-wes-bm-00003036,Diagnoses - main ICD10: K08.3 Retained dental root,ICD10 K08.3: Retained dental root
phenotype,ukb-b-11908,ukb-wes-bm-00003020,Diagnoses - main ICD10: L03.1 Cellulitis of other parts of limb,ICD10 L03.1: Cellulitis and acute lymphangitis of other parts of limb
phenotype,ukb-b-12047,ukb-wes-bm-00003657,Diagnoses - main ICD10: I20.0 Unstable angina,ICD10 I20.0: Unstable angina
phenotype,ukb-b-12115,ukb-wes-bm-00000573,Diagnoses - main ICD10: C50.4 Upper-outer quadrant of breast,ICD10 C50.4: Malignant neoplasm of upper-outer quadrant of breast
phenotype,ukb-b-12187,ukb-wes-bm-00003143,Diagnoses - main ICD10: T39.1 4-Aminophenol derivatives,"ICD10 T39.1: Poisoning by, adverse effect of and underdosing of 4-Aminophenol derivatives"
phenotype,ukb-b-12267,ukb-wes-bm-00000943,Diagnoses - main ICD10: I80.2 Phlebitis and thrombophlebitis of other deep vessels of lower extremities,ICD10 I80.2: Phlebitis and thrombophlebitis of other and unspecified deep vessels of lower extremities
phenotype,ukb-b-123,ukb-wes-bm-00002857,Diagnoses - main ICD10: N32.0 Bladder-neck obstruction,ICD10 N32.0: Bladder-neck obstruction
phenotype,ukb-b-12316,ukb-wes-bm-00002229,Diagnoses - main ICD10: K29.8 Duodenitis,ICD10 K29.8: Duodenitis
phenotype,ukb-b-12364,ukb-wes-bm-00003004,Diagnoses - main ICD10: M67.4 Ganglion,ICD10 M67.4: Ganglion
phenotype,ukb-b-12397,ukb-wes-bm-00001661,"Diagnoses - main ICD10: H26.9 Cataract, unspecified",ICD10 H26.9: Unspecified cataract
phenotype,ukb-b-12510,ukb-wes-bm-00003652,Diagnoses - main ICD10: R69 Unknown and unspecified causes of morbidity,"ICD10 R69: Illness, unspecified"
phenotype,ukb-b-1261,ukb-wes-bm-00001723,Diagnoses - main ICD10: Z08.0 Follow-up examination after surgery for malignant neoplasm,ICD10 Z08.0: Follow-up examination after surgery for malignant neoplasm (Z08.0)
phenotype,ukb-b-12620,ukb-wes-bm-00000629,Diagnoses - main ICD10: M79.86 Other specified soft tissue disorders (Lower leg),ICD10 M79.86: Other specified soft tissue disorders
phenotype,ukb-b-12789,ukb-wes-bm-00001509,Diagnoses - main ICD10: R19.4 Change in bowel habit,ICD10 R19.4: Change in bowel habit
phenotype,ukb-b-12872,ukb-wes-bm-00003566,Diagnoses - main ICD10: M51.2 Other specified intervertebral disk displacement,"ICD10 M51.2: Other thoracic, thoracolumbar and lumbosacral intervertebral disc displacement"
phenotype,ukb-b-12944,ukb-wes-bm-00003803,Diagnoses - main ICD10: N84.0 Polyp of corpus uteri,ICD10 N84.0: Polyp of corpus uteri
phenotype,ukb-b-13019,ukb-wes-bm-00003667,Diagnoses - main ICD10: M25.5 Pain in joint,ICD10 M25.5: Pain in joint
phenotype,ukb-b-1306,ukb-wes-bm-00000806,Diagnoses - main ICD10: K29.6 Other gastritis,ICD10 K29.6: Other gastritis
phenotype,ukb-b-13190,ukb-wes-bm-00003208,"Diagnoses - main ICD10: G43.9 Migraine, unspecified","ICD10 G43.9: Migraine, unspecified"
phenotype,ukb-b-13391,ukb-wes-bm-00000172,"Diagnoses - main ICD10: G45.9 Transient cerebral ischaemic attack, unspecified","ICD10 G45.9: Transient cerebral ischemic attack, unspecified"
phenotype,ukb-b-13414,ukb-wes-bm-00001005,Diagnoses - main ICD10: O02.1 Missed abortion,ICD10 O02.1: Missed abortion
phenotype,ukb-b-13464,ukb-wes-bm-00002373,Diagnoses - main ICD10: K62.8 Other specified diseases of anus and rectum,ICD10 K62.8: Other specified diseases of anus and rectum
phenotype,ukb-b-13517,ukb-wes-bm-00002052,Diagnoses - main ICD10: M72.0 Palmar fascial fibromatosis [Dupuytren],ICD10 M72.0: Palmar fascial fibromatosis [Dupuytren]
phenotype,ukb-b-13731,ukb-wes-bm-00000928,Diagnoses - main ICD10: K22.1 Ulcer of oesophagus,ICD10 K22.1: Ulcer of esophagus
phenotype,ukb-b-1386,ukb-wes-bm-00001310,Diagnoses - main ICD10: K21.9 Gastro-oesophageal reflux disease without oesophagitis,ICD10 K21.9: Gastro-esophageal reflux disease without esophagitis
phenotype,ukb-b-14086,ukb-wes-bm-00001053,Diagnoses - main ICD10: N93.8 Other specified abnormal uterine and vaginal bleeding,ICD10 N93.8: Other specified abnormal uterine and vaginal bleeding
phenotype,ukb-b-1418,ukb-wes-bm-00002487,Diagnoses - main ICD10: M75.4 Impingement syndrome of shoulder,ICD10 M75.4: Impingement syndrome of shoulder
phenotype,ukb-b-14206,ukb-wes-bm-00001197,"Diagnoses - main ICD10: I20.9 Angina pectoris, unspecified","ICD10 I20.9: Angina pectoris, unspecified"
phenotype,ukb-b-14416,ukb-wes-bm-00002626,Diagnoses - main ICD10: I84.1 Internal haemorrhoids with other complications,ICD10 I84.1: Internal haemorrhoids with other complications (I84.1)
phenotype,ukb-b-14436,ukb-wes-bm-00000408,"Diagnoses - main ICD10: L72.9 Follicular cyst of skin and subcutaneous tissue, unspecified","ICD10 L72.9: Follicular cyst of the skin and subcutaneous tissue, unspecified"
phenotype,ukb-b-14479,ukb-wes-bm-00000801,Diagnoses - main ICD10: Z09.8 Follow-up examination after other treatment for other conditions,ICD10 Z09.8: Follow-up examination after other treatment for other conditions (Z09.8)
phenotype,ukb-b-14541,ukb-wes-bm-00001227,Diagnoses - main ICD10: K42.9 Umbilical hernia without obstruction or gangrene,ICD10 K42.9: Umbilical hernia without obstruction or gangrene
phenotype,ukb-b-14603,ukb-wes-bm-00003353,Diagnoses - main ICD10: R07.3 Other chest pain,ICD10 R07.3: Other chest pain (R07.3)
phenotype,ukb-b-14674,ukb-wes-bm-00001528,"Diagnoses - main ICD10: N92.6 Irregular menstruation, unspecified","ICD10 N92.6: Irregular menstruation, unspecified"
phenotype,ukb-b-14753,ukb-wes-bm-00000016,Diagnoses - main ICD10: T84.0 Mechanical complication of internal joint prosthesis,ICD10 T84.0: Mechanical complication of internal joint prosthesis
phenotype,ukb-b-14765,ukb-wes-bm-00003915,"Diagnoses - main ICD10: D64.9 Anaemia, unspecified","ICD10 D64.9: Anemia, unspecified"
phenotype,ukb-b-14814,ukb-wes-bm-00003682,Diagnoses - main ICD10: K30 Dyspepsia,ICD10 K30: Functional dyspepsia
phenotype,ukb-b-14999,ukb-wes-bm-00003446,"Diagnoses - main ICD10: K92.2 Gastro-intestinal haemorrhage, unspecified","ICD10 K92.2: Gastrointestinal hemorrhage, unspecified"
phenotype,ukb-b-15003,ukb-wes-bm-00001383,Diagnoses - main ICD10: L72.0 Epidermal cyst,ICD10 L72.0: Epidermal cyst
phenotype,ukb-b-1557,ukb-wes-bm-00003605,Diagnoses - main ICD10: M54.5 Low back pain,ICD10 M54.5: Low back pain
phenotype,ukb-b-15606,ukb-wes-bm-00003101,"Diagnoses - main ICD10: J18.9 Pneumonia, unspecified","ICD10 J18.9: Pneumonia, unspecified organism"
phenotype,ukb-b-15836,ukb-wes-bm-00000494,Diagnoses - main ICD10: R87.6 Abnormal cytological findings,ICD10 R87.6: Abnormal cytological findings in specimens from female genital organs
phenotype,ukb-b-16187,ukb-wes-bm-00003905,Diagnoses - main ICD10: R55 Syncope and collapse,ICD10 R55: Syncope and collapse
phenotype,ukb-b-16313,ukb-wes-bm-00000756,Diagnoses - main ICD10: N23 Unspecified renal colic,ICD10 N23: Unspecified renal colic
phenotype,ukb-b-1668,ukb-wes-bm-00002380,Diagnoses - main ICD10: I25.1 Atherosclerotic heart disease,ICD10 I25.1: Atherosclerotic heart disease of native coronary artery
phenotype,ukb-b-16781,ukb-wes-bm-00000178,Diagnoses - main ICD10: G47.3 Sleep apnoea,ICD10 G47.3: Sleep apnea
phenotype,ukb-b-16882,ukb-wes-bm-00002463,Diagnoses - main ICD10: I84.6 Residual haemorrhoidal skin tags,ICD10 I84.6: Residual haemorrhoidal skin tags (I84.6)
phenotype,ukb-b-16917,ukb-wes-bm-00001295,Diagnoses - main ICD10: S09.9 Unspecified injury of head,ICD10 S09.9: Unspecified injury of face and head
phenotype,ukb-b-17287,ukb-wes-bm-00000900,Diagnoses - main ICD10: R39.8 Other and unspecified symptoms and signs involving the urinary system,ICD10 R39.8: Other symptoms and signs involving the genitourinary system
phenotype,ukb-b-17456,ukb-wes-bm-00001920,Diagnoses - main ICD10: R10.3 Pain localised to other parts of lower abdomen,ICD10 R10.3: Pain localized to other parts of lower abdomen
phenotype,ukb-b-17587,ukb-wes-bm-00001467,"Diagnoses - main ICD10: T81.0 Haemorrhage and haematoma complicating a procedure, not elsewhere classified","ICD10 T81.0: Haemorrhage and haematoma complicating a procedure, not elsewhere classified (T81.0)"
phenotype,ukb-b-17885,ukb-wes-bm-00000846,Diagnoses - main ICD10: R31 Unspecified haematuria,ICD10 R31: Hematuria
phenotype,ukb-b-17961,ukb-wes-bm-00003834,Diagnoses - main ICD10: K58.9 Irritable bowel syndrome without diarrhoea,ICD10 K58.9: Irritable bowel syndrome without diarrhea
phenotype,ukb-b-17992,ukb-wes-bm-00001397,Diagnoses - main ICD10: I84.2 Internal haemorrhoids without complication,ICD10 I84.2: Internal haemorrhoids without complication (I84.2)
phenotype,ukb-b-18279,ukb-wes-bm-00002744,Diagnoses - main ICD10: M51.1 Lumbar and other intervertebral disk disorders with radiculopathy,"ICD10 M51.1: Thoracic, thoracolumbar and lumbosacral intervertebral disc disorders with radiculopathy"
phenotype,ukb-b-18366,ukb-wes-bm-00000662,Diagnoses - main ICD10: I26.9 Pulmonary embolism without mention of acute cor pulmonale,ICD10 I26.9: Pulmonary embolism without acute cor pulmonale
phenotype,ukb-b-18372,ukb-wes-bm-00002021,Diagnoses - main ICD10: N20.0 Calculus of kidney,ICD10 N20.0: Calculus of kidney
phenotype,ukb-b-18379,ukb-wes-bm-00003572,"Diagnoses - main ICD10: M17.9 Gonarthrosis, unspecified","ICD10 M17.9: Osteoarthritis of knee, unspecified"
phenotype,ukb-b-1853,ukb-wes-bm-00000357,Diagnoses - main ICD10: K92.0 Haematemesis,ICD10 K92.0: Hematemesis
phenotype,ukb-b-18629,ukb-wes-bm-00001894,Diagnoses - main ICD10: N20.1 Calculus of ureter,ICD10 N20.1: Calculus of ureter
phenotype,ukb-b-18785,ukb-wes-bm-00000480,Diagnoses - main ICD10: K13.7 Other and unspecified lesions of oral mucosa,ICD10 K13.7: Other and unspecified lesions of oral mucosa
phenotype,ukb-b-18822,ukb-wes-bm-00003554,"Diagnoses - main ICD10: K29.7 Gastritis, unspecified","ICD10 K29.7: Gastritis, unspecified"
phenotype,ukb-b-18897,ukb-wes-bm-00003206,Diagnoses - main ICD10: Z42.1 Follow-up care involving plastic surgery of breast,ICD10 Z42.1: Encounter for breast reconstruction following mastectomy
phenotype,ukb-b-19045,ukb-wes-bm-00001137,Diagnoses - main ICD10: J34.8 Other specified disorders of nose and nasal sinuses,ICD10 J34.8: Other specified disorders of nose and nasal sinuses
phenotype,ukb-b-19109,ukb-wes-bm-00000988,Diagnoses - main ICD10: R00.2 Palpitations,ICD10 R00.2: Palpitations
phenotype,ukb-b-19110,ukb-wes-bm-00000587,Diagnoses - main ICD10: N84.1 Polyp of cervix uteri,ICD10 N84.1: Polyp of cervix uteri
phenotype,ukb-b-19266,ukb-wes-bm-00000610,"Diagnoses - main ICD10: D12.6 Colon, unspecified","ICD10 D12.6: Benign neoplasm of colon, unspecified"
phenotype,ukb-b-19350,ukb-wes-bm-00001277,"Diagnoses - main ICD10: I63.9 Cerebral infarction, unspecified","ICD10 I63.9: Cerebral infarction, unspecified"
phenotype,ukb-b-19354,ukb-wes-bm-00001608,Diagnoses - main ICD10: K20 Oesophagitis,ICD10 K20: Esophagitis
phenotype,ukb-b-19386,ukb-wes-bm-00002756,"Diagnoses - main ICD10: K51.9 Ulcerative colitis, unspecified","ICD10 K51.9: Ulcerative colitis, unspecified"
phenotype,ukb-b-19388,ukb-wes-bm-00003169,Diagnoses - main ICD10: K85 Acute pancreatitis,ICD10 K85: Acute pancreatitis
phenotype,ukb-b-19425,ukb-wes-bm-00001110,Diagnoses - main ICD10: C20 Malignant neoplasm of rectum,ICD10 C20: Malignant neoplasm of rectum
phenotype,ukb-b-19542,ukb-wes-bm-00002478,Diagnoses - main ICD10: Z47.0 Follow-up care involving removal of fracture plate and other internal fixation device,ICD10 Z47.0: Follow-up care involving removal of fracture plate and other internal fixation device (Z47.0)
phenotype,ukb-b-1968,ukb-wes-bm-00001353,Diagnoses - main ICD10: K63.5 Polyp of colon,ICD10 K63.5: Polyp of colon
phenotype,ukb-b-19769,ukb-wes-bm-00002030,Diagnoses - main ICD10: R06.5 Mouth breathing,ICD10 R06.5: Mouth breathing
phenotype,ukb-b-1977,ukb-wes-bm-00002977,Diagnoses - main ICD10: R51 Headache,ICD10 R51: Headache
phenotype,ukb-b-19805,ukb-wes-bm-00001648,Diagnoses - main ICD10: K62.1 Rectal polyp,ICD10 K62.1: Rectal polyp
phenotype,ukb-b-19807,ukb-wes-bm-00003567,Diagnoses - main ICD10: M51.3 Other specified intervertebral disk degeneration,"ICD10 M51.3: Other thoracic, thoracolumbar and lumbosacral intervertebral disc degeneration"
phenotype,ukb-b-19813,ukb-wes-bm-00001102,Diagnoses - main ICD10: M54.56 Low back pain (Lumbar region),ICD10 M54.56: Low back pain
phenotype,ukb-b-19829,ukb-wes-bm-00002777,"Diagnoses - main ICD10: M16.9 Coxarthrosis, unspecified","ICD10 M16.9: Osteoarthritis of hip, unspecified"
phenotype,ukb-b-20038,ukb-wes-bm-00000513,Diagnoses - main ICD10: Z13.8 Special screening examination for other specified diseases and disorders,ICD10 Z13.8: Encounter for screening for other specified diseases and disorders
phenotype,ukb-b-20162,ukb-wes-bm-00001189,Diagnoses - main ICD10: R33 Retention of urine,ICD10 R33: Retention of urine
phenotype,ukb-b-20189,ukb-wes-bm-00000974,"Diagnoses - main ICD10: K52.9 Non-infective gastro-enteritis and colitis, unspecified","ICD10 K52.9: Noninfective gastroenteritis and colitis, unspecified"
phenotype,ukb-b-20190,ukb-wes-bm-00000146,"Diagnoses - main ICD10: L98.9 Disorder of skin and subcutaneous tissue, unspecified","ICD10 L98.9: Disorder of the skin and subcutaneous tissue, unspecified"
phenotype,ukb-b-20208,ukb-wes-bm-00001336,"Diagnoses - main ICD10: J45.9 Asthma, unspecified",ICD10 J45.9: Other and unspecified asthma
phenotype,ukb-b-203,ukb-wes-bm-00002423,Diagnoses - main ICD10: Z12.1 Special screening examination for neoplasm of intestinal tract,ICD10 Z12.1: Encounter for screening for malignant neoplasm of intestinal tract
phenotype,ukb-b-20386,ukb-wes-bm-00002604,Diagnoses - main ICD10: R07.2 Precordial pain,ICD10 R07.2: Precordial pain
phenotype,ukb-b-2083,ukb-wes-bm-00001627,Diagnoses - main ICD10: M25.56 Pain in joint (Lower leg),ICD10 M25.56: Pain in knee
phenotype,ukb-b-212,ukb-wes-bm-00000703,Diagnoses - main ICD10: D17.2 Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,ICD10 D17.2: Benign lipomatous neoplasm of skin and subcutaneous tissue of limb
phenotype,ukb-b-2194,ukb-wes-bm-00002114,Diagnoses - main ICD10: O63.1 Prolonged second stage (of labour),ICD10 O63.1: Prolonged second stage (of labor)
phenotype,ukb-b-2285,ukb-wes-bm-00000821,Diagnoses - main ICD10: H25.0 Senile incipient cataract,ICD10 H25.0: Age-related incipient cataract
phenotype,ukb-b-2307,ukb-wes-bm-00000244,"Diagnoses - main ICD10: C50.9 Breast, unspecified",ICD10 C50.9: Malignant neoplasm of breast of unspecified site
phenotype,ukb-b-2561,ukb-wes-bm-00003505,Diagnoses - main ICD10: D17.1 Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,ICD10 D17.1: Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
phenotype,ukb-b-2804,ukb-wes-bm-00000589,Diagnoses - main ICD10: S52.50 Fracture of lower end of radius (closed),ICD10 S52.50: Unspecified fracture of the lower end of radius
phenotype,ukb-b-2875,ukb-wes-bm-00003840,Diagnoses - main ICD10: M16.1 Other primary coxarthrosis,ICD10 M16.1: Unilateral primary osteoarthritis of hip
phenotype,ukb-b-3095,ukb-wes-bm-00003261,Diagnoses - main ICD10: H25.1 Senile nuclear cataract,ICD10 H25.1: Age-related nuclear cataract
phenotype,ukb-b-3145,ukb-wes-bm-00003284,Diagnoses - main ICD10: C44.5 Skin of trunk,ICD10 C44.5: Other and unspecified malignant neoplasm of skin of trunk
phenotype,ukb-b-3355,ukb-wes-bm-00001304,"Diagnoses - main ICD10: D50.9 Iron deficiency anaemia, unspecified","ICD10 D50.9: Iron deficiency anemia, unspecified"
phenotype,ukb-b-3469,ukb-wes-bm-00002075,"Diagnoses - main ICD10: I21.9 Acute myocardial infarction, unspecified","ICD10 I21.9: Acute myocardial infarction, unspecified"
phenotype,ukb-b-3596,ukb-wes-bm-00001337,Diagnoses - main ICD10: D22.3 Melanocytic naevi of other and unspecified parts of face,ICD10 D22.3: Melanocytic nevi of other and unspecified parts of face
phenotype,ukb-b-3683,ukb-wes-bm-00002781,"Diagnoses - main ICD10: B34.9 Viral infection, unspecified","ICD10 B34.9: Viral infection, unspecified"
phenotype,ukb-b-373,ukb-wes-bm-00000516,Diagnoses - main ICD10: N32.8 Other specified disorders of bladder,ICD10 N32.8: Other specified disorders of bladder
phenotype,ukb-b-3770,ukb-wes-bm-00001334,Diagnoses - main ICD10: J34.2 Deviated nasal septum,ICD10 J34.2: Deviated nasal septum
phenotype,ukb-b-3802,ukb-wes-bm-00003028,Diagnoses - main ICD10: N50.8 Other specified disorders of male genital organs,ICD10 N50.8: Other specified disorders of male genital organs
phenotype,ukb-b-3965,ukb-wes-bm-00002339,Diagnoses - main ICD10: G56.0 Carpal tunnel syndrome,ICD10 G56.0: Carpal tunnel syndrome
phenotype,ukb-b-3983,ukb-wes-bm-00000584,"Diagnoses - main ICD10: I25.9 Chronic ischaemic heart disease, unspecified","ICD10 I25.9: Chronic ischemic heart disease, unspecified"
phenotype,ukb-b-4141,ukb-wes-bm-00000092,Diagnoses - main ICD10: C44.3 Skin of other and unspecified parts of face,ICD10 C44.3: Other and unspecified malignant neoplasm of skin of other and unspecified parts of face
phenotype,ukb-b-4280,ukb-wes-bm-00000419,Diagnoses - main ICD10: M20.2 Hallux rigidus,ICD10 M20.2: Hallux rigidus
phenotype,ukb-b-4507,ukb-wes-bm-00001758,Diagnoses - main ICD10: R04.2 Haemoptysis,ICD10 R04.2: Hemoptysis
phenotype,ukb-b-453,ukb-wes-bm-00001704,Diagnoses - main ICD10: I21.0 Acute transmural myocardial infarction of anterior wall,ICD10 I21.0: ST elevation (STEMI) myocardial infarction of anterior wall
