study_name,trait_name,category
ebi-a-GCST90001573,Terminally Differentiated CD4-CD8- T cell %CD4-CD8- T cell,blood cell measures
ebi-a-GCST90001574,Terminally Differentiated CD4-CD8- T cell %T cell,blood cell measures
ebi-a-GCST90001575,Naive CD4+ T cell %T cell,blood cell measures
ebi-a-GCST90001576,Transitional B cell %B cell,blood cell measures
ebi-a-GCST90001577,Transitional B cell Absolute Count,blood cell measures
ebi-a-GCST90001578,Transitional B cell %lymphocyte,blood cell measures
ebi-a-GCST90001579,CD14- CD16+ monocyte Absolute Count,blood cell measures
ebi-a-GCST90001580,CD14+ CD16+ monocyte Absolute Count,blood cell measures
ebi-a-GCST90001581,CD14- CD16- Absolute Count,blood cell measures
ebi-a-GCST90001582,CD14+ CD16- monocyte Absolute Count,blood cell measures
ebi-a-GCST90001583,Monocyte Absolute Count,blood cell measures
ebi-a-GCST90001584,CD14- CD16+ monocyte %monocyte,blood cell measures
ebi-a-GCST90001585,CD14+ CD16+ monocyte %monocyte,blood cell measures
ebi-a-GCST90001586,CD14+ CD16- monocyte %monocyte,blood cell measures
ebi-a-GCST90001587,CD16+ monocyte %monocyte,blood cell measures
ebi-a-GCST90001588,T/B cell,blood cell measures
ebi-a-GCST90001589,CD4+/CD8+ T cell,blood cell measures
ebi-a-GCST90001590,CD4+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001591,CD4+ T cell %T cell,blood cell measures
ebi-a-GCST90001592,CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001593,CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001594,CD4+CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001595,CD4+CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001596,CD8dim T cell Absolute Count,blood cell measures
ebi-a-GCST90001597,CD8dim T cell %T cell,blood cell measures
ebi-a-GCST90001598,CD4-CD8- T cell Absolute Count,blood cell measures
ebi-a-GCST90001599,CD4-CD8- T cell %T cell,blood cell measures
ebi-a-GCST90001600,Leukocyte Absolute Count,blood cell measures
ebi-a-GCST90001601,Lymphocyte Absolute Count,blood cell measures
ebi-a-GCST90001602,Lymphocyte %leukocyte,blood cell measures
ebi-a-GCST90001603,T cell Absolute Count,blood cell measures
ebi-a-GCST90001604,T cell %lymphocyte,blood cell measures
ebi-a-GCST90001605,T cell %leukocyte,blood cell measures
ebi-a-GCST90001606,CD4+ T cell %leukocyte,blood cell measures
ebi-a-GCST90001607,CD8+ T cell %leukocyte,blood cell measures
ebi-a-GCST90001608,CD4+CD8+ T cell %leukocyte,blood cell measures
ebi-a-GCST90001609,CD4+ CD8dim T cell Absolute Count,blood cell measures
ebi-a-GCST90001610,CD4+ CD8dim T cell %lymphocyte,blood cell measures
ebi-a-GCST90001611,CD4+ CD8dim T cell %leukocyte,blood cell measures
ebi-a-GCST90001612,CD8dim T cell %leukocyte,blood cell measures
ebi-a-GCST90001613,CD4-CD8- T cell %leukocyte,blood cell measures
ebi-a-GCST90001614,CD8+ and CD8dim T cell %leukocyte,blood cell measures
ebi-a-GCST90001615,TCRgd T cell Absolute Count,blood cell measures
ebi-a-GCST90001616,TCRgd T cell %T cell,blood cell measures
ebi-a-GCST90001617,TCRgd T cell %lymphocyte,blood cell measures
ebi-a-GCST90001618,HLA DR+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001619,HLA DR+ T cell%T cell,blood cell measures
ebi-a-GCST90001620,HLA DR+ T cell%lymphocyte,blood cell measures
ebi-a-GCST90001621,Natural Killer T Absolute Count,blood cell measures
ebi-a-GCST90001622,Natural Killer T %T cell,blood cell measures
ebi-a-GCST90001623,Natural Killer T %lymphocyte,blood cell measures
ebi-a-GCST90001624,HLA DR+ CD4+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001625,HLA DR+ CD4+ T cell %T cell,blood cell measures
ebi-a-GCST90001626,HLA DR+ CD4+ T cell %lymphocyte,blood cell measures
ebi-a-GCST90001627,HLA DR+ CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001628,HLA DR+ CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001629,HLA DR+ CD8+ T cell %lymphocyte,blood cell measures
ebi-a-GCST90001630,CD8+ Natural Killer T Absolute Count,blood cell measures
ebi-a-GCST90001631,CD8+ Natural Killer T %T cell,blood cell measures
ebi-a-GCST90001632,CD8+ Natural Killer T %lymphocyte,blood cell measures
ebi-a-GCST90001633,CD8dim Natural Killer T Absolute Count,blood cell measures
ebi-a-GCST90001634,CD8dim Natural Killer T %T cell,blood cell measures
ebi-a-GCST90001635,CD8dim Natural Killer T %lymphocyte,blood cell measures
ebi-a-GCST90001636,CD4-CD8- Natural Killer T Absolute Count,blood cell measures
ebi-a-GCST90001637,CD4-CD8- Natural Killer T %T cell,blood cell measures
ebi-a-GCST90001638,CD4-CD8- Natural Killer T %lymphocyte,blood cell measures
ebi-a-GCST90001639,CD3- lymphocyte Absolute Count,blood cell measures
ebi-a-GCST90001640,CD3- lymphocyte %lymphocyte,blood cell measures
ebi-a-GCST90001641,CD3- lymphocyte %leukocyte,blood cell measures
ebi-a-GCST90001642,B cell Absolute Count,blood cell measures
ebi-a-GCST90001643,B cell %CD3- lymphocyte,blood cell measures
ebi-a-GCST90001644,B cell %lymphocyte,blood cell measures
ebi-a-GCST90001645,Natural Killer Absolute Count,blood cell measures
ebi-a-GCST90001646,Natural Killer %CD3- lymphocyte,blood cell measures
ebi-a-GCST90001647,Natural Killer %lymphocyte,blood cell measures
ebi-a-GCST90001648,HLA DR+ Natural Killer Absolute Count,blood cell measures
ebi-a-GCST90001649,HLA DR+ Natural Killer %Natural Killer,blood cell measures
ebi-a-GCST90001650,HLA DR+ Natural Killer  %CD3- lymphocyte,blood cell measures
ebi-a-GCST90001651,Granulocyte Absolute Count,blood cell measures
ebi-a-GCST90001652,Granulocyte %leukocyte,blood cell measures
ebi-a-GCST90001653,CD28- CD4-CD8- T cell %CD4-CD8- T cell,blood cell measures
ebi-a-GCST90001654,CD28- CD4-CD8- T cell Absolute Count,blood cell measures
ebi-a-GCST90001655,CD28+ CD4-CD8- T cell %T cell,blood cell measures
ebi-a-GCST90001656,CD28+ CD4-CD8- T cell %CD4-CD8- T cell,blood cell measures
ebi-a-GCST90001657,CD28+ CD4-CD8- T cell Absolute Count,blood cell measures
ebi-a-GCST90001658,CD39+ CD4+ T cell %T cell,blood cell measures
ebi-a-GCST90001659,CD39+ CD4+ T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001660,CD39+ CD4+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001661,CD28- CD8dim T cell %T cell,blood cell measures
ebi-a-GCST90001662,CD28- CD8dim T cell %CD8dim T cell,blood cell measures
ebi-a-GCST90001663,CD28- CD8dim T cell Absolute Count,blood cell measures
ebi-a-GCST90001664,CD28+ CD45RA+ CD8dim T cell %T cell,blood cell measures
ebi-a-GCST90001665,CD28+ CD45RA+ CD8dim T cell %CD8dim T cell,blood cell measures
ebi-a-GCST90001666,CD28+ CD45RA+ CD8dim T cell Absolute Count,blood cell measures
ebi-a-GCST90001667,CD28+ CD45RA- CD8dim T cell %T cell,blood cell measures
ebi-a-GCST90001668,CD28+ CD45RA- CD8dim T cell %CD8dim T cell,blood cell measures
ebi-a-GCST90001669,CD28+ CD45RA- CD8dim T cell Absolute Count,blood cell measures
ebi-a-GCST90001670,CD39+ CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001671,CD39+ CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001672,CD39+ CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001673,CD28- CD127- CD25++ CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001674,CD28- CD127- CD25++ CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001675,CD28- CD127- CD25++ CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001676,CD28- CD25++ CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001677,CD28- CD25++ CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001678,CD28- CD25++ CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001679,CD25++ CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001680,CD25++ CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001681,CD25++ CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001682,CD127- CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001683,CD127- CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001684,CD127- CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001685,CD28- CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001686,CD28- CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001687,CD28- CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001688,CD28+ CD45RA+ CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001689,CD28+ CD45RA+ CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001690,CD28+ CD45RA+ CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001691,CD28+ CD45RA- CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001692,CD28+ CD45RA- CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001693,CD28+ CD45RA- CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001694,CD28- CD4-CD8- T cell %T cell,blood cell measures
ebi-a-GCST90001695,CD45RA- CD28- CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001696,CD45RA- CD28- CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001697,CD45RA- CD28- CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001698,CD45RA+ CD28- CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001699,CD45RA+ CD28- CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001700,CD45RA+ CD28- CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001701,BAFF-R on CD20- CD38- B cell,blood cell measures
ebi-a-GCST90001702,BAFF-R on CD24+ CD27+ B cell,blood cell measures
ebi-a-GCST90001703,BAFF-R on IgD+ CD24+ B cell,blood cell measures
ebi-a-GCST90001704,BAFF-R on IgD+ CD24- B cell,blood cell measures
ebi-a-GCST90001705,BAFF-R on IgD+ CD38- B cell,blood cell measures
ebi-a-GCST90001706,BAFF-R on IgD+ CD38- naive B cell,blood cell measures
ebi-a-GCST90001707,BAFF-R on IgD+ CD38- unswitched memory B cell,blood cell measures
ebi-a-GCST90001708,BAFF-R on IgD+ CD38+ B cell,blood cell measures
ebi-a-GCST90001709,BAFF-R on IgD+ CD38dim B cell,blood cell measures
ebi-a-GCST90001710,BAFF-R on IgD- CD24- B cell,blood cell measures
ebi-a-GCST90001711,BAFF-R on IgD- CD27- B cell,blood cell measures
ebi-a-GCST90001712,BAFF-R on IgD- CD38- B cell,blood cell measures
ebi-a-GCST90001713,BAFF-R on IgD- CD38+ B cell,blood cell measures
ebi-a-GCST90001714,BAFF-R on IgD- CD38dim B cell,blood cell measures
ebi-a-GCST90001715,BAFF-R on memory B cell,blood cell measures
ebi-a-GCST90001716,BAFF-R on naive-mature B cell,blood cell measures
ebi-a-GCST90001717,BAFF-R on unswitched memory B cell,blood cell measures
ebi-a-GCST90001718,BAFF-R on switched memory B cell,blood cell measures
ebi-a-GCST90001719,BAFF-R on IgD+ B cell,blood cell measures
ebi-a-GCST90001720,BAFF-R on transitional B cell,blood cell measures
ebi-a-GCST90001721,CD19 on CD20- B cell,blood cell measures
ebi-a-GCST90001722,CD19 on CD20- CD38- B cell,blood cell measures
ebi-a-GCST90001723,CD19 on CD24+ CD27+ B cell,blood cell measures
ebi-a-GCST90001724,CD19 on IgD+ CD24+ B cell,blood cell measures
ebi-a-GCST90001725,CD19 on IgD+ CD24- B cell,blood cell measures
ebi-a-GCST90001726,CD19 on IgD+ CD38- B cell,blood cell measures
ebi-a-GCST90001727,CD19 on IgD+ CD38- naive B cell,blood cell measures
ebi-a-GCST90001728,CD19 on IgD+ CD38- unswitched memory B cell,blood cell measures
ebi-a-GCST90001729,CD19 on IgD+ CD38+ B cell,blood cell measures
ebi-a-GCST90001730,CD19 on IgD+ CD38dim B cell,blood cell measures
ebi-a-GCST90001731,CD19 on IgD- CD24- B cell,blood cell measures
ebi-a-GCST90001732,CD19 on IgD- CD27- B cell,blood cell measures
ebi-a-GCST90001733,CD19 on IgD- CD38- B cell,blood cell measures
ebi-a-GCST90001734,CD19 on IgD- CD38+ B cell,blood cell measures
ebi-a-GCST90001735,CD19 on IgD- CD38dim B cell,blood cell measures
ebi-a-GCST90001736,CD19 on memory B cell,blood cell measures
ebi-a-GCST90001737,CD19 on naive-mature B cell,blood cell measures
ebi-a-GCST90001738,CD19 on unswitched memory B cell,blood cell measures
ebi-a-GCST90001739,CD19 on Plasma Blast-Plasma Cell,blood cell measures
ebi-a-GCST90001740,CD19 on switched memory B cell,blood cell measures
ebi-a-GCST90001741,CD19 on IgD+ B cell,blood cell measures
ebi-a-GCST90001742,CD19 on transitional B cell,blood cell measures
ebi-a-GCST90001743,CD20 on B cell,blood cell measures
ebi-a-GCST90001744,CD20 on CD20- CD38- B cell,blood cell measures
ebi-a-GCST90001745,CD20 on CD24+ CD27+ B cell,blood cell measures
ebi-a-GCST90001746,CD20 on IgD+ CD24+ B cell,blood cell measures
ebi-a-GCST90001747,CD20 on IgD+ CD24- B cell,blood cell measures
ebi-a-GCST90001748,CD20 on IgD+ CD38- B cell,blood cell measures
ebi-a-GCST90001749,CD20 on IgD+ CD38- naive B cell,blood cell measures
ebi-a-GCST90001750,CD20 on IgD+ CD38- unswitched memory B cell,blood cell measures
ebi-a-GCST90001751,CD20 on IgD+ CD38+ B cell,blood cell measures
ebi-a-GCST90001752,CD20 on IgD+ CD38dim B cell,blood cell measures
ebi-a-GCST90001753,CD20 on IgD- CD24- B cell,blood cell measures
ebi-a-GCST90001754,CD20 on IgD- CD27- B cell,blood cell measures
ebi-a-GCST90001755,CD20 on IgD- CD38- B cell,blood cell measures
ebi-a-GCST90001756,CD20 on IgD- CD38+ B cell,blood cell measures
ebi-a-GCST90001757,CD20 on IgD- CD38dim B cell,blood cell measures
ebi-a-GCST90001758,CD20 on memory B cell,blood cell measures
ebi-a-GCST90001759,CD20 on naive-mature B cell,blood cell measures
ebi-a-GCST90001760,CD20 on unswitched memory B cell,blood cell measures
ebi-a-GCST90001761,CD20 on switched memory B cell,blood cell measures
ebi-a-GCST90001762,CD20 on IgD+ B cell,blood cell measures
ebi-a-GCST90001763,CD20 on transitional B cell,blood cell measures
ebi-a-GCST90001764,CD24 on CD24+ CD27+ B cell,blood cell measures
ebi-a-GCST90001765,CD24 on IgD+ CD24+ B cell,blood cell measures
ebi-a-GCST90001766,CD24 on IgD+ CD38- B cell,blood cell measures
ebi-a-GCST90001767,CD24 on IgD+ CD38- unswitched memory B cell,blood cell measures
ebi-a-GCST90001768,CD24 on IgD+ CD38+ B cell,blood cell measures
ebi-a-GCST90001769,CD24 on IgD- CD38- B cell,blood cell measures
ebi-a-GCST90001770,CD24 on IgD- CD38dim B cell,blood cell measures
ebi-a-GCST90001771,CD24 on memory B cell,blood cell measures
ebi-a-GCST90001772,CD24 on unswitched memory B cell,blood cell measures
ebi-a-GCST90001773,CD24 on switched memory B cell,blood cell measures
ebi-a-GCST90001774,CD24 on transitional B cell,blood cell measures
ebi-a-GCST90001775,CD25 on B cell,blood cell measures
ebi-a-GCST90001776,CD25 on CD20- CD38- B cell,blood cell measures
ebi-a-GCST90001777,CD25 on CD24+ CD27+ B cell,blood cell measures
ebi-a-GCST90001778,CD25 on IgD+ CD24+ B cell,blood cell measures
ebi-a-GCST90001779,CD25 on IgD+ CD24- B cell,blood cell measures
ebi-a-GCST90001780,CD25 on IgD+ CD38- B cell,blood cell measures
ebi-a-GCST90001781,CD25 on IgD+ CD38- naive B cell,blood cell measures
ebi-a-GCST90001782,CD25 on IgD+ CD38- unswitched memory B cell,blood cell measures
ebi-a-GCST90001783,CD25 on IgD+ CD38+ B cell,blood cell measures
ebi-a-GCST90001784,CD25 on IgD+ CD38dim B cell,blood cell measures
ebi-a-GCST90001785,CD25 on IgD- CD24- B cell,blood cell measures
ebi-a-GCST90001786,CD25 on IgD- CD27- B cell,blood cell measures
ebi-a-GCST90001787,CD25 on IgD- CD38- B cell,blood cell measures
ebi-a-GCST90001788,CD25 on IgD- CD38+ B cell,blood cell measures
ebi-a-GCST90001789,CD25 on IgD- CD38dim B cell,blood cell measures
ebi-a-GCST90001790,CD25 on memory B cell,blood cell measures
ebi-a-GCST90001791,CD25 on naive-mature B cell,blood cell measures
ebi-a-GCST90001792,CD25 on unswitched memory B cell,blood cell measures
ebi-a-GCST90001793,CD25 on switched memory B cell,blood cell measures
ebi-a-GCST90001794,CD25 on IgD+ B cell,blood cell measures
ebi-a-GCST90001795,CD25 on transitional B cell,blood cell measures
ebi-a-GCST90001796,CD27 on CD20- B cell,blood cell measures
ebi-a-GCST90001797,CD27 on CD20- CD38- B cell,blood cell measures
ebi-a-GCST90001798,CD27 on CD24+ CD27+ B cell,blood cell measures
ebi-a-GCST90001799,CD27 on T cell,blood cell measures
ebi-a-GCST90001800,CD27 on IgD+ CD24+ B cell,blood cell measures
ebi-a-GCST90001801,CD27 on IgD+ CD38- unswitched memory B cell,blood cell measures
ebi-a-GCST90001802,CD27 on IgD- CD38- B cell,blood cell measures
ebi-a-GCST90001803,CD27 on IgD- CD38+ B cell,blood cell measures
ebi-a-GCST90001804,CD27 on IgD- CD38dim B cell,blood cell measures
ebi-a-GCST90001805,CD27 on memory B cell,blood cell measures
ebi-a-GCST90001806,CD27 on unswitched memory B cell,blood cell measures
ebi-a-GCST90001807,CD27 on Plasma Blast-Plasma Cell,blood cell measures
ebi-a-GCST90001808,CD27 on switched memory B cell,blood cell measures
ebi-a-GCST90001809,CD38 on CD20- B cell,blood cell measures
ebi-a-GCST90001810,CD38 on CD3- CD19-,blood cell measures
ebi-a-GCST90001811,CD38 on IgD+ CD24- B cell,blood cell measures
ebi-a-GCST90001812,CD38 on IgD+ CD38+ B cell,blood cell measures
ebi-a-GCST90001813,CD38 on IgD+ CD38dim B cell,blood cell measures
ebi-a-GCST90001814,CD38 on IgD- CD38+ B cell,blood cell measures
ebi-a-GCST90001815,CD38 on IgD- CD38dim B cell,blood cell measures
ebi-a-GCST90001816,CD38 on naive-mature B cell,blood cell measures
ebi-a-GCST90001817,CD38 on Plasma Blast-Plasma Cell,blood cell measures
ebi-a-GCST90001818,CD38 on IgD+ B cell,blood cell measures
ebi-a-GCST90001819,CD38 on transitional B cell,blood cell measures
ebi-a-GCST90001820,IgD on IgD+ CD24+ B cell,blood cell measures
